user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,op_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len,is_blitz
Nhloso,46.0,51.0,3.0,100.0,1586.0,1580-1599,denixoid,1,39.0,56.0,4.0,100.0,1567.0,47.75,2398.0,1704.0,1659.0,1657.0,45.05,281.0,1810.0,1781.0,1745.0,50.0,43.75,6.25,64.0,42.623,54.098,3.279,61.0,A40,D00,C20,A15,0.293,0.397,0.276,0.246,0.574,0.148,239.0,44.444,49.206,6.349,63.0,40.323,56.452,3.226,62.0,C47,C44,B27,C41,0.321,0.453,0.208,0.758,0.015,0.227,254.0,1
Justo73,50.0,50.0,0.0,6.0,917.0,900-919,edureis_sjcampos,1,50.0,50.0,0.0,12.0,1447.0,62.47,1237.0,1653.0,1625.0,1497.0,46.32,1553.0,1696.0,1659.0,1659.0,43.75,51.562,4.688,64.0,36.066,59.016,4.918,61.0,D00,A40,C15,B02,0.3,0.32,0.26,0.464,0.217,0.304,394.0,48.387,51.613,0.0,62.0,39.683,58.73,1.587,63.0,D02,B00,A04,D10,0.291,0.345,0.345,0.348,0.348,0.304,267.0,0
AFERROB,55.0,41.0,4.0,100.0,1550.0,1540-1559,Vakonkx,1,10.0,90.0,0.0,10.0,771.0,45.66,9634.0,1891.0,1877.0,1870.0,129.25,10.0,0.0,0.0,0.0,53.846,38.462,7.692,65.0,35.0,61.667,3.333,60.0,C30,B20,B22,C28,0.357,0.411,0.214,0.226,0.21,0.548,394.0,0.0,100.0,0.0,4.0,16.667,83.333,0.0,6.0,C44,C00,C50,C44,0.0,1.0,0.0,0.222,0.222,0.333,306.0,0
NiceTry_GG,45.0,39.0,16.0,100.0,1363.0,1360-1379,rus31r,1,51.0,41.0,8.0,100.0,1372.0,,,,,,,,,,,46.667,36.667,16.667,60.0,46.154,49.231,4.615,65.0,C50,nonStandard,E24,A46,0.379,0.345,0.224,0.426,0.296,0.259,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
masturbyte1,56.0,44.0,0.0,100.0,1168.0,1160-1179,Eulenkind49,1,43.0,46.0,11.0,100.0,1287.0,,,,,,,,,,,49.206,50.794,0.0,63.0,54.839,45.161,0.0,62.0,B01,D00,C70,D20,0.431,0.369,0.169,0.283,0.333,0.267,315.0,50.82,44.262,4.918,61.0,40.625,50.0,9.375,64.0,C44,C45,B13,D30,0.281,0.491,0.211,0.22,0.763,0.017,353.0,1
neighdork,56.0,44.0,0.0,100.0,1860.0,1840-1859,cimnono,1,49.0,47.0,4.0,100.0,1753.0,47.48,1886.0,1993.0,1984.0,1980.0,45.05,18166.0,2008.0,2006.0,1983.0,53.125,42.188,4.688,64.0,44.262,50.82,4.918,61.0,B00,A00,B20,C10,0.279,0.508,0.197,0.103,0.672,0.224,315.0,49.206,47.619,3.175,63.0,48.387,50.0,1.613,62.0,A00,B00,A40,B00,0.148,0.672,0.164,0.197,0.656,0.148,338.0,1
fourknght,53.0,46.0,0.0,45.0,2078.0,2060-2079,sheldon66,1,,,,,1798.0,48.69,5562.0,2212.0,2201.0,2182.0,103.4,555.0,1932.0,1831.0,1825.0,55.738,42.623,1.639,61.0,40.625,54.688,4.688,64.0,B23,D00,A02,C10,0.167,0.6,0.2,0.197,0.492,0.295,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pascalquartenoud,33.0,66.0,0.0,9.0,1416.0,1400-1419,GrandWizardMaster,1,35.0,57.0,7.0,42.0,1573.0,55.68,1639.0,1634.0,1630.0,1626.0,70.81,1301.0,2171.0,2080.0,2077.0,50.0,46.875,3.125,64.0,39.344,55.738,4.918,61.0,B06,C50,C63,A05,0.339,0.268,0.357,0.969,0.016,0.016,267.0,50.0,48.485,1.515,66.0,44.068,54.237,1.695,59.0,C30,B30,B50,D20,0.288,0.373,0.288,0.422,0.328,0.25,286.0,0
Thomas_op13,0.0,100.0,0.0,9.0,1326.0,1320-1339,ibraheem_qm,1,50.0,50.0,0.0,6.0,1382.0,88.92,291.0,1796.0,1778.0,1614.0,154.09,31.0,1747.0,1597.0,1571.0,50.0,43.333,6.667,60.0,44.615,50.769,4.615,65.0,B01,A00,C41,E34,0.356,0.475,0.068,0.458,0.322,0.186,262.0,37.5,62.5,0.0,16.0,37.5,62.5,0.0,16.0,A40,B01,A00,A45,0.417,0.25,0.25,0.15,0.65,0.15,281.0,0
GERAmini,54.0,40.0,6.0,100.0,2255.0,2240-2259,WWWgoogle,-1,70.0,29.0,0.0,51.0,2319.0,45.06,13758.0,2536.0,2496.0,2490.0,46.87,1223.0,2527.0,2523.0,2484.0,49.206,36.508,14.286,63.0,48.387,50.0,1.613,62.0,B22,A43,B27,A30,0.148,0.557,0.295,0.093,0.426,0.481,280.0,60.656,32.787,6.557,61.0,65.625,34.375,0.0,64.0,D02,A04,B23,A13,0.329,0.519,0.152,0.119,0.762,0.048,270.0,0
NeworldsPS,50.0,40.0,10.0,30.0,1772.0,1760-1779,bymat53,1,0.0,100.0,0.0,3.0,1851.0,66.27,367.0,1824.0,1820.0,1813.0,135.15,25.0,2100.0,2049.0,2033.0,61.905,38.095,0.0,63.0,43.548,53.226,3.226,62.0,D00,C00,C46,B50,0.333,0.424,0.242,0.175,0.544,0.246,215.0,62.5,37.5,0.0,16.0,33.333,55.556,11.111,9.0,C20,A40,B10,C20,0.385,0.154,0.462,0.636,0.0,0.182,314.0,0
AllRino,50.0,46.0,3.0,96.0,1625.0,1620-1639,BenKian,1,,,,,1646.0,47.32,9673.0,2314.0,2287.0,2262.0,66.98,2340.0,1834.0,1824.0,1821.0,48.387,48.387,3.226,62.0,38.095,60.317,1.587,63.0,B00,C44,C22,D06,0.37,0.426,0.167,0.368,0.5,0.074,299.0,55.556,41.27,3.175,63.0,51.613,41.935,6.452,62.0,B30,D00,B15,D45,0.313,0.507,0.164,0.269,0.712,0.0,501.0,0
WarriorParth27,0.0,100.0,0.0,1.0,1258.0,1240-1259,Bizov,1,,,,,2257.0,399.67,0.0,0.0,0.0,0.0,135.04,11382.0,2581.0,2536.0,2509.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,A01,,A01,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.875,45.312,7.812,64.0,50.82,45.902,3.279,61.0,C41,B01,B07,C40,0.246,0.443,0.262,0.316,0.509,0.158,258.0,0
carried5,44.0,53.0,3.0,100.0,1440.0,1420-1439,Kitchpuri,-1,56.0,40.0,4.0,100.0,1661.0,46.61,3820.0,2195.0,2109.0,2103.0,45.17,7277.0,2120.0,2115.0,2115.0,47.368,50.877,1.754,57.0,48.529,48.529,2.941,68.0,B00,nonStandard,C20,B40,0.367,0.35,0.167,0.258,0.355,0.226,368.0,67.188,31.25,1.562,64.0,54.098,39.344,6.557,61.0,C44,C41,B10,C21,0.171,0.539,0.25,0.227,0.568,0.159,393.0,1
rv1ces,0.0,100.0,0.0,3.0,1915.0,1900-1919,ismailalsudani,-1,,,,,1202.0,90.29,979.0,2256.0,2169.0,2145.0,74.28,472.0,1767.0,1470.0,1462.0,45.0,45.0,10.0,60.0,43.077,53.846,3.077,65.0,A01,B06,B07,A10,0.127,0.636,0.218,0.339,0.371,0.274,399.0,39.683,60.317,0.0,63.0,33.871,62.903,3.226,62.0,C20,C40,B20,A35,0.543,0.196,0.261,0.519,0.364,0.065,300.0,0
Aylenlf,48.0,51.0,1.0,100.0,1577.0,1560-1579,ShawnParkinsn,1,38.0,59.0,3.0,100.0,1561.0,45.37,9830.0,1835.0,1827.0,1819.0,46.81,2472.0,2229.0,2201.0,2179.0,53.226,40.323,6.452,62.0,44.444,52.381,3.175,63.0,A43,B30,C45,B22,0.328,0.361,0.295,0.19,0.431,0.362,252.0,35.938,59.375,4.688,64.0,45.902,50.82,3.279,61.0,B28,D00,D35,D31,0.333,0.373,0.255,0.42,0.406,0.159,238.0,1
coolie95,39.0,56.0,4.0,100.0,2013.0,2000-2019,Amapamapamapa,1,21.0,75.0,4.0,100.0,1297.0,,,,,,,,,,,55.556,42.857,1.587,63.0,40.323,54.839,4.839,62.0,A40,B10,A48,D11,0.25,0.483,0.233,0.115,0.639,0.197,179.0,16.923,80.0,3.077,65.0,25.0,71.667,3.333,60.0,D01,A40,C55,D02,0.423,0.423,0.0,0.021,0.158,0.779,606.0,0
vLegitZ,51.0,48.0,1.0,100.0,1553.0,1540-1559,BaNsofwa,1,48.0,49.0,3.0,100.0,1622.0,,,,,,,,,,,52.632,45.614,1.754,57.0,52.941,47.059,0.0,68.0,B01,A00,D01,C50,0.212,0.515,0.273,0.19,0.741,0.052,250.0,36.508,57.143,6.349,63.0,53.226,41.935,4.839,62.0,B01,C20,C40,D02,0.089,0.518,0.393,0.742,0.032,0.226,266.0,1
MigueFernandez,0.0,100.0,0.0,3.0,1963.0,1960-1979,Blunderfy,-1,,,,,1999.0,51.51,2864.0,2427.0,2297.0,2223.0,175.85,1369.0,2108.0,2097.0,2047.0,53.571,37.5,8.929,56.0,47.826,49.275,2.899,69.0,A40,D00,A43,D11,0.238,0.492,0.254,0.255,0.655,0.091,260.0,59.677,35.484,4.839,62.0,63.492,26.984,9.524,63.0,B40,A43,B23,C56,0.182,0.468,0.273,0.256,0.538,0.205,327.0,0
JulioManuel,49.0,49.0,2.0,100.0,1751.0,1740-1759,dog11,1,52.0,45.0,3.0,100.0,1723.0,45.51,7655.0,2116.0,2075.0,2071.0,45.15,22070.0,2159.0,2144.0,2131.0,45.161,53.226,1.613,62.0,49.206,49.206,1.587,63.0,C50,C00,B10,E05,0.186,0.644,0.153,0.156,0.5,0.344,372.0,53.968,42.857,3.175,63.0,43.548,54.839,1.613,62.0,C00,D06,A33,A46,0.148,0.59,0.246,0.131,0.623,0.246,368.0,1
Trader72,61.0,15.0,24.0,100.0,2612.0,2600-2619,DeepDiego,-1,100.0,0.0,0.0,9.0,2500.0,66.43,8839.0,2744.0,2731.0,2722.0,181.03,602.0,2596.0,2542.0,2535.0,66.667,11.111,22.222,63.0,62.903,14.516,22.581,62.0,D11,D38,E11,B31,0.086,0.716,0.198,0.062,0.25,0.688,321.0,57.895,24.561,17.544,57.0,70.588,22.059,7.353,68.0,C02,A01,A08,A45,0.136,0.617,0.247,0.138,0.862,0.0,221.0,0
SerbianEagle021,72.0,24.0,4.0,75.0,1831.0,1820-1839,Uschiotze,1,100.0,0.0,0.0,3.0,2158.0,45.12,4756.0,2258.0,2258.0,2193.0,118.64,3804.0,2306.0,2287.0,2274.0,61.017,33.898,5.085,59.0,51.515,45.455,3.03,66.0,C00,C22,A00,A40,0.243,0.429,0.314,0.34,0.66,0.0,377.0,48.333,46.667,5.0,60.0,50.769,40.0,9.231,65.0,B01,A40,B00,B06,0.242,0.5,0.242,0.056,0.944,0.0,238.0,0
nutchthehunt,55.0,38.0,5.0,54.0,1784.0,1780-1799,Darknight22548,-1,47.0,49.0,4.0,100.0,1865.0,,,,,,,,,,,45.161,54.839,0.0,62.0,44.444,49.206,6.349,63.0,A10,A21,A22,A08,0.268,0.607,0.125,0.2,0.754,0.046,218.0,58.462,36.923,4.615,65.0,45.0,53.333,1.667,60.0,B01,D30,E11,D08,0.123,0.615,0.215,0.214,0.393,0.321,234.0,1
Djoy11,37.0,61.0,2.0,100.0,1612.0,1600-1619,greyyx,1,48.0,49.0,3.0,100.0,1517.0,,,,,,,,,,,55.0,41.667,3.333,60.0,47.692,47.692,4.615,65.0,C41,C20,A43,B28,0.312,0.422,0.25,0.411,0.089,0.464,253.0,52.381,44.444,3.175,63.0,37.097,61.29,1.613,62.0,A01,C00,nonStandard,B00,0.25,0.446,0.286,0.333,0.485,0.167,243.0,1
palet_master,55.0,42.0,3.0,100.0,1925.0,1920-1939,Nurzhan_Meirkhanov7,1,46.0,52.0,2.0,100.0,1908.0,45.14,11706.0,2240.0,2225.0,2173.0,45.09,1209.0,2072.0,2071.0,2070.0,46.032,49.206,4.762,63.0,45.161,50.0,4.839,62.0,B02,B03,D11,C24,0.263,0.614,0.123,0.21,0.645,0.145,347.0,61.29,35.484,3.226,62.0,30.159,66.667,3.175,63.0,A40,D02,D05,C42,0.228,0.491,0.281,0.141,0.703,0.125,351.0,1
neel786,45.0,55.0,0.0,100.0,1716.0,1700-1719,renatherion,-1,55.0,41.0,4.0,100.0,1748.0,58.55,2522.0,2412.0,2265.0,2244.0,45.01,56610.0,2457.0,2438.0,2436.0,47.458,49.153,3.39,59.0,48.485,50.0,1.515,66.0,D01,A40,D02,D35,0.333,0.4,0.2,0.145,0.226,0.597,387.0,53.846,36.923,9.231,65.0,50.0,48.333,1.667,60.0,D02,A04,B20,B22,0.262,0.446,0.277,0.151,0.566,0.283,402.0,1
Danialnajuan111,28.0,71.0,0.0,63.0,966.0,960-979,wanaisyah2010,-1,47.0,52.0,0.0,57.0,1722.0,221.71,68.0,1570.0,1269.0,1174.0,134.43,693.0,1901.0,1871.0,1865.0,37.838,62.162,0.0,37.0,31.579,68.421,0.0,38.0,A00,A40,C57,A40,0.615,0.115,0.231,0.571,0.0,0.286,365.0,50.0,46.774,3.226,62.0,42.857,50.794,6.349,63.0,C50,C45,B28,C78,0.328,0.534,0.121,0.328,0.262,0.41,422.0,0
WerderFan007,52.0,42.0,6.0,100.0,1954.0,1940-1959,DIAB1,1,44.0,48.0,8.0,100.0,1902.0,52.75,2303.0,2002.0,2000.0,1995.0,45.05,22258.0,2091.0,2054.0,2032.0,48.387,43.548,8.065,62.0,55.556,39.683,4.762,63.0,B22,C50,C41,A04,0.169,0.662,0.169,0.75,0.115,0.115,357.0,45.902,42.623,11.475,61.0,31.25,65.625,3.125,64.0,B00,C25,D45,C21,0.188,0.542,0.271,0.147,0.838,0.015,324.0,1
aamsulaeman2,56.0,34.0,8.0,69.0,1812.0,1800-1819,Schalk,-1,52.0,47.0,1.0,100.0,1895.0,55.99,418.0,2060.0,2008.0,2000.0,45.4,32501.0,2497.0,2447.0,2439.0,47.458,50.847,1.695,59.0,42.424,53.03,4.545,66.0,B01,A00,C20,B23,0.375,0.446,0.143,0.138,0.585,0.262,244.0,46.032,52.381,1.587,63.0,51.613,46.774,1.613,62.0,B21,B30,B34,B18,0.361,0.41,0.213,0.113,0.645,0.242,250.0,1
kl1172,39.0,56.0,5.0,100.0,1473.0,1460-1479,annihilate,1,17.0,79.0,4.0,100.0,1226.0,48.0,7425.0,2260.0,2185.0,2137.0,45.01,2272.0,2101.0,2073.0,2012.0,28.125,68.75,3.125,64.0,49.18,45.902,4.918,61.0,D30,B40,A20,D55,0.375,0.333,0.271,0.222,0.361,0.403,340.0,20.896,77.612,1.493,67.0,17.241,81.034,1.724,58.0,A40,nonStandard,B20,A15,0.25,0.292,0.333,0.242,0.394,0.263,189.0,1
MNMoslem,47.0,50.0,3.0,100.0,2094.0,2080-2099,Tarnopov,1,49.0,45.0,6.0,100.0,1982.0,92.73,1855.0,2434.0,2391.0,2376.0,45.03,4552.0,2315.0,2294.0,2287.0,55.556,41.27,3.175,63.0,38.71,59.677,1.613,62.0,A04,A05,B07,D77,0.153,0.644,0.203,0.175,0.714,0.111,360.0,53.226,38.71,8.065,62.0,50.794,39.683,9.524,63.0,C42,D01,A44,C13,0.154,0.646,0.2,0.102,0.673,0.224,361.0,1
alimr212,47.0,51.0,2.0,100.0,1496.0,1480-1499,RAMAZAN73,1,41.0,51.0,8.0,100.0,1350.0,45.12,4955.0,1776.0,1589.0,1575.0,54.91,205.0,1821.0,1803.0,1704.0,48.438,51.562,0.0,64.0,50.82,45.902,3.279,61.0,A00,C00,A13,A40,0.29,0.532,0.177,0.295,0.672,0.033,453.0,27.119,67.797,5.085,59.0,40.909,54.545,4.545,66.0,C50,C44,A43,C54,0.279,0.605,0.093,0.079,0.724,0.184,495.0,1
Druzhinin_nik,44.0,51.0,5.0,100.0,1458.0,1440-1459,crenlot,0,50.0,46.0,4.0,100.0,1465.0,45.3,9182.0,2440.0,2360.0,2232.0,45.16,1925.0,2151.0,1925.0,1874.0,40.625,45.312,14.062,64.0,49.18,42.623,8.197,61.0,C23,C41,A20,D10,0.393,0.464,0.143,0.091,0.691,0.218,382.0,62.903,37.097,0.0,62.0,39.683,52.381,7.937,63.0,C21,C40,C31,A01,0.281,0.516,0.156,0.196,0.786,0.018,311.0,1
jacksofia,46.0,51.0,3.0,100.0,1499.0,1480-1499,ela0454,-1,52.0,41.0,7.0,100.0,1548.0,45.06,2663.0,1665.0,1657.0,1651.0,45.07,11470.0,1981.0,1959.0,1955.0,40.984,52.459,6.557,61.0,45.312,51.562,3.125,64.0,A00,B06,A08,A01,0.278,0.463,0.259,0.138,0.292,0.554,265.0,43.077,49.231,7.692,65.0,43.333,51.667,5.0,60.0,B00,C41,A45,A20,0.296,0.259,0.407,0.397,0.333,0.254,243.0,1
shoodowopwop,42.0,52.0,6.0,100.0,1280.0,1260-1279,Ever_Tovar,-1,50.0,37.0,13.0,100.0,1351.0,46.17,4887.0,1497.0,1484.0,1483.0,45.39,1715.0,1674.0,1656.0,1632.0,58.73,36.508,4.762,63.0,37.097,58.065,4.839,62.0,B30,D00,C64,C78,0.15,0.383,0.45,0.475,0.475,0.051,247.0,46.774,38.71,14.516,62.0,36.508,50.794,12.698,63.0,C50,B00,C00,C46,0.135,0.577,0.269,0.625,0.304,0.071,257.0,1
Dojolp,52.0,47.0,1.0,100.0,1622.0,1620-1639,Shohraty2000,-1,61.0,32.0,7.0,100.0,1805.0,45.0,2588.0,1841.0,1818.0,1811.0,45.29,258.0,1902.0,1885.0,1864.0,57.377,36.066,6.557,61.0,57.812,37.5,4.688,64.0,B06,A22,D85,D78,0.236,0.556,0.181,0.413,0.5,0.087,373.0,57.143,31.746,11.111,63.0,46.774,45.161,8.065,62.0,B90,B50,E91,C92,0.138,0.554,0.308,0.312,0.375,0.271,429.0,1
terstenbirinci,52.0,45.0,2.0,75.0,1595.0,1580-1599,rustemv,1,44.0,55.0,1.0,100.0,1374.0,50.58,92.0,1906.0,1889.0,1856.0,50.29,706.0,1840.0,1797.0,1780.0,48.98,46.939,4.082,49.0,51.163,48.837,0.0,43.0,C40,C20,B44,C41,0.196,0.413,0.326,0.364,0.455,0.182,240.0,39.394,57.576,3.03,66.0,42.373,57.627,0.0,59.0,A04,B06,A41,C67,0.392,0.314,0.137,0.194,0.333,0.444,339.0,1
aidotours,50.0,50.0,0.0,6.0,1351.0,1340-1359,panteliymon,1,50.0,33.0,16.0,18.0,1292.0,92.37,345.0,1524.0,1520.0,1515.0,56.35,1048.0,1479.0,1461.0,1461.0,51.471,44.118,4.412,68.0,45.614,52.632,1.754,57.0,D00,A40,A46,D07,0.295,0.475,0.18,0.383,0.583,0.017,337.0,44.262,52.459,3.279,61.0,48.438,45.312,6.25,64.0,B01,C00,C22,C01,0.345,0.345,0.259,0.344,0.59,0.033,255.0,0
roygbiv,33.0,65.0,2.0,100.0,1538.0,1520-1539,tere67,1,100.0,0.0,0.0,3.0,1433.0,205.37,3279.0,1495.0,1446.0,1437.0,172.6,87.0,0.0,0.0,0.0,29.032,67.742,3.226,62.0,34.921,58.73,6.349,63.0,C50,B10,A00,B07,0.275,0.625,0.05,0.013,0.759,0.228,403.0,50.0,45.161,4.839,62.0,65.385,34.615,0.0,26.0,B00,C50,A04,C40,0.229,0.562,0.167,0.081,0.703,0.216,495.0,0
ANTOMOSQUITA,26.0,73.0,1.0,100.0,1568.0,1560-1579,Navman,-1,0.0,100.0,0.0,3.0,2024.0,67.36,310.0,2121.0,1982.0,1953.0,46.2,3815.0,2275.0,2210.0,2166.0,32.308,64.615,3.077,65.0,25.0,71.667,3.333,60.0,B00,C30,B43,A04,0.278,0.167,0.528,0.459,0.494,0.047,231.0,56.14,43.86,0.0,57.0,48.529,47.059,4.412,68.0,B01,D00,D05,A09,0.215,0.508,0.262,0.298,0.614,0.088,246.0,1
GoneTwoThree,51.0,40.0,9.0,100.0,2096.0,2080-2099,ElPeakyBlinder,-1,65.0,31.0,4.0,100.0,2219.0,45.26,829.0,2219.0,2217.0,2210.0,46.53,6711.0,2443.0,2423.0,2401.0,49.206,44.444,6.349,63.0,40.323,51.613,8.065,62.0,B23,B01,D13,A16,0.161,0.696,0.143,0.167,0.817,0.017,398.0,68.852,27.869,3.279,61.0,59.375,39.062,1.562,64.0,B13,B12,D45,A10,0.325,0.512,0.138,0.071,0.548,0.357,386.0,1
